team,elo
Spain,2250.85097028941
Argentina,2226.4511245684735
France,2154.021229685661
England,2137.7368380871876
Brazil,2108.853212658288
Colombia,2105.1574567008174
Ecuador,2086.6556540201645
Portugal,2079.2783649463345
Japan,2065.380428535317
Netherlands,2052.07699268331
Germany,2051.2690609723536
Morocco,2042.608768931144
Norway,2035.5951039045865
Turkey,2026.6627287870808
Mexico,2025.860560193377
Croatia,2024.532478939038
Uruguay,2022.120074521645
Switzerland,2013.2466986938005
Paraguay,2000.328567916538
Belgium,1992.7545966743573
Italy,1984.104401864186
Denmark,1980.5041260322546
Australia,1972.583376605457
Senegal,1965.3933655503183
Canada,1964.57003240609
Iran,1961.2051611049662
Austria,1951.6393432789857
South Korea,1951.099766952439
Algeria,1950.16712240703
Nigeria,1929.027402230635
Scotland,1922.256738219147
Uzbekistan,1914.8598445074174
Panama,1907.9622892756242
Russia,1899.370070318163
Ukraine,1892.4986280769272
United States,1885.8491373786323
Venezuela,1883.477953764562
Ivory Coast,1880.4011740864094
Chile,1869.7351435229207
Serbia,1868.3171417171488
Czech Republic,1866.3469222145643
Egypt,1865.2923397741583
Greece,1862.8770960567724
Jordan,1861.479926602881
DR Congo,1856.280400459522
Kosovo,1852.7790853665197
Peru,1850.9458811548946
Poland,1847.8479224470684
Iraq,1846.3930666832382
Republic of Ireland,1844.272027771949
Sweden,1842.3828845057485
Tunisia,1837.0968469901313
Hungary,1830.070435791649
Haiti,1825.7647049722755
Costa Rica,1822.8907796660137
Bolivia,1818.8495433972478
Slovenia,1817.944896606275
Wales,1804.1311078255744
Jersey,1802.4375163138343
Honduras,1800.9144937236597
Israel,1796.5240142110952
Slovakia,1796.080648660304
New Zealand,1792.1181156172186
Cameroon,1786.2585155056222
Mali,1783.1814525444722
Saudi Arabia,1780.7740491660547
Georgia,1778.0039405044586
Romania,1766.011450616377
United Arab Emirates,1760.202652948805
Bosnia and Herzegovina,1758.5283284303266
Basque Country,1757.364150535493
Jamaica,1747.6317763691663
Burkina Faso,1747.2534980896605
Northern Ireland,1747.086042292352
Cape Verde,1745.1594489372612
Albania,1739.1149300284292
Guernsey,1737.4682318383957
Guatemala,1737.178597021041
North Macedonia,1734.5277007825766
South Africa,1725.8427980378376
Isle of Man,1725.45734005114
Ghana,1722.3900698621214
Curaçao,1710.6245289833907
Iceland,1710.1463138495756
UAE,1710.0
Suriname,1700.9514469008573
Northern Cyprus,1698.733690842314
Palestine,1698.6756987183235
Syria,1697.2288801009604
Catalonia,1692.1394971240545
Occitania,1679.4030714462913
Oman,1679.2784224666048
Belarus,1678.9762868134453
Finland,1678.0435617753203
Padania,1676.059642583874
Guinea,1661.325602275581
New Caledonia,1659.482693565138
Angola,1658.820504679269
Benin,1652.8518924876635
Ynys Môn,1650.3274447715517
China,1649.4764069611415
Qatar,1647.5710204526085
Trinidad and Tobago,1645.8116013607246
Iraqi Kurdistan,1643.7247616777631
Nicaragua,1638.6362182735872
Thailand,1638.1851575669725
Bahrain,1637.7465151254075
Gabon,1635.3063705068296
Guadeloupe,1633.0524894346486
Réunion,1632.9264704913248
Isle of Wight,1629.915965619017
Gambia,1628.9739890512308
Zambia,1628.853027460498
Abkhazia,1628.5404639062867
Libya,1627.6392997431255
Zanzibar,1627.0609552141907
Andalusia,1626.5928120550539
Madagascar,1620.7024419621464
Bulgaria,1619.012160431624
North Korea,1614.8899498490337
Kárpátalja,1613.6300554995007
Uganda,1611.6985601298916
Guyana,1610.4909037974514
Niger,1609.2818048070703
Kazakhstan,1604.4840551785726
Indonesia,1603.3730624023494
El Salvador,1601.9181208332643
Mozambique,1597.541968472127
Montenegro,1596.400427176038
Martinique,1593.1724988020392
Dominican Republic,1590.880837111398
Vietnam,1590.8480872617715
Sierra Leone,1590.3854779815692
County of Nice,1589.748973593853
Tamil Eelam,1585.7878342990016
Panjab,1585.1668018298449
Sudan,1584.459838908322
Kuwait,1584.1368148044564
Malaysia,1583.9080669958716
Zimbabwe,1582.7086153541904
Kurdistan,1577.4067781058372
Kernow,1577.3289731794475
Kyrgyzstan,1574.898215667587
Tahiti,1572.3191359003788
Kenya,1571.631716081157
Togo,1570.3305909269693
Ellan Vannin,1570.2503383381897
Rhodes,1570.141521081106
Lebanon,1570.033048589575
Menorca,1569.7137999794631
Tajikistan,1568.6179885354702
Comoros,1567.981414455805
Corsica,1563.7887748091234
Artsakh,1556.988687923812
Chameria,1553.1363119563225
Equatorial Guinea,1552.827409476434
Yorkshire,1551.8496941467822
Cuba,1551.5625812556239
Arameans Suryoye,1549.133324302556
Quebec,1546.2821739137125
Cascadia,1545.7997556436155
Namibia,1545.2356541600311
Galicia,1544.5855438891992
Rwanda,1542.8529903907734
Luxembourg,1537.7418557890273
Mauritania,1536.889023068754
Liberia,1536.263521452954
Faroe Islands,1534.5740489729392
Mayotte,1530.9067816135066
Shetland,1528.7225624641999
Maule Sur,1528.345836909456
Malawi,1528.2848386404416
French Guiana,1526.0073427267928
Western Armenia,1524.1972911942726
Lesotho,1522.948508093625
Crimea,1518.6579833617404
Tanzania,1517.6360484973734
Brittany,1517.6330950767483
Surrey,1516.2994142109505
Biafra,1515.2914700517745
Armenia,1514.9722295620954
Papua New Guinea,1514.6953783292456
Canary Islands,1514.0230298069705
Parishes of Jersey,1513.3280967586722
Felvidék,1512.6829132385176
Donetsk PR,1512.3960533799477
Silesia,1511.180571837714
Mapuche,1508.4707999873015
Elba Island,1507.155902527255
United Koreans in Japan,1503.1780003771503
Estonia,1502.991604034975
Vanuatu,1501.894860131323
Délvidék,1500.6285763283697
DEFAULT,1500.0
Turkmenistan,1494.005997456689
Saugeais,1492.7677090689683
Botswana,1492.3461010474432
Ethiopia,1491.7487192273732
Székely Land,1491.677457618482
Greenland,1491.3380862602853
Luhansk PR,1491.2138915661774
Cilento,1490.5825984137416
Madrid,1490.4913250662282
Matabeleland,1488.6733944226714
Burundi,1488.5646217371022
Sealand,1488.3552953685958
Seborga,1486.5473385463279
Fiji,1486.509477778652
Sápmi,1486.1150152879643
Republic of St. Pauli,1484.614144734471
South Ossetia,1484.4424123332972
Yoruba Nation,1483.585642520057
Central African Republic,1481.8551207071732
Franconia,1481.7343142564653
Cyprus,1481.2695658679938
Puerto Rico,1480.5509545855753
Somaliland,1476.98623955528
Ryūkyū,1476.4442409254425
Azerbaijan,1473.6650801969063
West Papua,1473.5943851776688
Guinea-Bissau,1473.4737570636262
Åland Islands,1473.1922442674997
Provence,1472.0610883871404
Gozo,1471.6041076051838
Saint Vincent and the Grenadines,1468.3790162542205
East Turkestan,1465.566150395576
Romani people,1464.1686813479046
Monaco,1463.4787160932763
Aymara,1463.1833631032425
Hmong,1461.6235521314875
Kabylia,1459.8540331304405
Hong Kong,1455.791471504822
Chechnya,1455.6207998435775
Eswatini,1453.435764718648
Western Isles,1451.7561474115348
Philippines,1449.948559067745
Gotland,1449.7562990800945
Găgăuzia,1449.599235475746
Saint Barthélemy,1444.726677270123
Saint Martin,1443.623098142416
Bermuda,1441.560444638108
Congo,1439.4295171942645
Latvia,1438.876479598065
Malta,1436.6589023945667
Hitra,1434.4994610790134
Solomon Islands,1433.9541430862303
Yemen,1431.8746628671865
Ticino,1430.7134840816145
Lithuania,1430.4218209465828
Vatican City,1425.5348630920162
Marshall Islands,1422.9679695064906
Orkney,1420.5827681429244
Two Sicilies,1420.0631729966697
Sint Maarten,1415.2223296948257
Belize,1411.5277888017943
Moldova,1410.3580062398626
Grenada,1408.602509710818
Western Sahara,1407.4778218469116
Singapore,1407.4122447746206
Raetia,1404.47818237797
Ambazonia,1391.9758296373043
Afghanistan,1386.2375460731425
South Sudan,1384.9012342986487
Saint Kitts and Nevis,1383.3981319786315
Saare County,1381.3640206462276
Micronesia,1364.1010832909064
Chagos Islands,1361.2396063709118
Chad,1360.5192236855746
Barawa,1359.4149962996096
Montserrat,1357.7229949528091
India,1357.3153714953296
Saint Helena,1354.969980329541
Mauritius,1351.9225171663868
Sark,1345.8810776837583
Aruba,1335.4646934223279
Saint Pierre and Miquelon,1333.0424146267408
Saint Lucia,1329.9146640528331
Kiribati,1315.553743390249
Samoa,1314.2397732619243
São Tomé and Príncipe,1310.8675068910256
Eritrea,1303.3407839403117
Myanmar,1294.9148904614772
Darfur,1291.2105778960058
Tibet,1290.7598418265472
Bangladesh,1290.4284662217478
Dominica,1285.580437250749
Tuvalu,1279.0710540617733
Nepal,1269.1068697009046
Andorra,1262.4980934182147
Barbados,1251.040772214597
Falkland Islands,1248.756320754886
Bonaire,1247.1882310795208
Frøya,1243.1623255327615
Gibraltar,1227.4738515180422
Antigua and Barbuda,1224.9976885852425
Cook Islands,1222.2563723965866
Pakistan,1218.1761659080485
Cambodia,1216.379406341401
Djibouti,1215.8068695474722
Taiwan,1207.1466017311138
Somalia,1200.5018579018576
Alderney,1177.9592034573363
Sri Lanka,1177.6151307084272
British Virgin Islands,1170.7718400214565
Tonga,1161.5105723386291
Cayman Islands,1159.044857817232
Maldives,1157.899550642426
Mongolia,1152.62123394353
Seychelles,1141.6121017377147
Guam,1131.7801197920035
Northern Mariana Islands,1108.217286894386
Laos,1106.3432396292023
Turks and Caicos Islands,1100.0487322336132
Bahamas,1088.407349744339
United States Virgin Islands,1083.4561594836325
Brunei,1082.8522501312523
Liechtenstein,1081.9281453025349
Timor-Leste,1070.9199540376976
Bhutan,1056.064285554776
American Samoa,1055.3015998544322
Anguilla,1051.6227084936934
San Marino,1037.3153106232992
Macau,1033.1031303419181
