date,time,group,home,away,venue,altitude,status,home_goals,away_goals,minute
2026-06-11,13:00,A,Mexico,South Africa,Estadio Azteca,2240,scheduled,,, 
2026-06-11,20:00,A,South Korea,Czech Republic,AT&T Stadium,171,scheduled,,,
2026-06-12,13:00,B,Canada,Bosnia and Herzegovina,BMO Field,76,scheduled,,,
2026-06-12,19:00,D,United States,Paraguay,Rose Bowl,270,scheduled,,,
2026-06-13,13:00,B,Qatar,Switzerland,MetLife,4,scheduled,,,
2026-06-13,16:00,C,Brazil,Morocco,SoFi Stadium,60,scheduled,,,
2026-06-13,19:00,C,Haiti,Scotland,Lumen Field,8,scheduled,,,
2026-06-13,22:00,D,Australia,Turkey,NRG Stadium,23,scheduled,,,
2026-06-14,11:00,E,Germany,Curaçao,Lincoln Financial,267,scheduled,,,
2026-06-14,14:00,F,Netherlands,Japan,Gillette Stadium,18,scheduled,,,
2026-06-14,17:00,E,Ivory Coast,Ecuador,Arrowhead Stadium,304,scheduled,,,
2026-06-14,20:00,F,Sweden,Tunisia,Empower Field,1609,scheduled,,,
2026-06-15,10:00,H,Spain,Cape Verde,Hard Rock Stadium,4,scheduled,,,
2026-06-15,13:00,G,Belgium,Egypt,Mercedes-Benz,312,scheduled,,,
2026-06-15,16:00,H,Saudi Arabia,Uruguay,Allegiant Stadium,600,scheduled,,,
2026-06-15,19:00,G,Iran,New Zealand,BC Place,5,scheduled,,,
2026-06-16,13:00,I,France,Senegal,MetLife,4,scheduled,,,
2026-06-16,16:00,I,Iraq,Norway,Lincoln Financial,267,scheduled,,,
2026-06-16,19:00,J,Argentina,Algeria,Hard Rock Stadium,4,scheduled,,,
2026-06-16,22:00,J,Austria,Jordan,NRG Stadium,23,scheduled,,,
2026-06-17,11:00,K,Portugal,DR Congo,Gillette Stadium,18,scheduled,,,
2026-06-17,14:00,L,England,Croatia,AT&T Stadium,171,scheduled,,,
2026-06-17,17:00,L,Ghana,Panama,Arrowhead Stadium,304,scheduled,,,
2026-06-17,20:00,K,Uzbekistan,Colombia,Lumen Field,8,scheduled,,,
2026-06-19,13:00,D,United States,Australia,Rose Bowl,270,scheduled,,,
2026-06-19,16:00,C,Scotland,Morocco,Empower Field,1609,scheduled,,,
2026-06-19,18:30,C,Brazil,Haiti,SoFi Stadium,60,scheduled,,,
2026-06-19,21:00,D,Turkey,Paraguay,NRG Stadium,23,scheduled,,,
2026-06-20,11:00,F,Netherlands,Sweden,MetLife,4,scheduled,,,
2026-06-20,14:00,E,Germany,Ivory Coast,Lincoln Financial,267,scheduled,,,
2026-06-20,18:00,E,Ecuador,Curaçao,Arrowhead Stadium,304,scheduled,,,
2026-06-20,22:00,F,Tunisia,Japan,Gillette Stadium,18,scheduled,,,
2026-06-21,10:00,H,Spain,Saudi Arabia,Hard Rock Stadium,4,scheduled,,,
